YYYYMMDD,YYYY.DECM,N(m),E(m),U(m),sig_n(mm),sig_e(mm),sig_u(mm)
2010-09-13,2010.7,7.0,-416.2,-3.1,2.1,2.1,6.9
2010-09-14,2010.7027,7.3,-415.0,-4.3,2.1,2.1,7.0
2010-09-15,2010.7055,8.1,-414.2,-5.7,2.1,2.1,6.6
2010-09-16,2010.7082,6.2,-415.8,-6.5,2.5,2.4,8.2
2010-09-17,2010.711,7.3,-415.1,-5.2,2.0,2.0,6.6
2010-09-18,2010.7137,7.0,-413.4,3.0,2.2,2.2,7.3
2010-09-19,2010.7164,7.0,-414.9,-3.4,2.1,2.0,6.7
2010-09-20,2010.7192,6.8,-414.9,-10.5,2.0,2.0,6.5
2010-09-21,2010.7219,6.6,-414.5,-11.9,2.1,2.1,6.8
2010-09-22,2010.7247,7.7,-415.4,-6.0,2.0,1.9,6.5
2010-09-23,2010.7274,7.2,-415.3,-5.9,2.2,2.2,7.4
2010-09-24,2010.7301,7.5,-413.8,-6.1,2.0,2.0,6.7
2010-09-25,2010.7329,7.3,-413.8,-7.7,2.0,1.9,6.4
2010-09-26,2010.7356,6.5,-412.3,-5.1,2.2,2.2,7.1
2010-09-27,2010.7384,7.1,-413.9,-6.3,2.2,2.2,6.8
2010-09-28,2010.7411,7.6,-413.9,-8.35,2.0,2.0,6.65
2010-09-29,2010.7438,7.4,-414.1,-10.4,2.0,2.0,6.5
2010-09-30,2010.7466,7.6,-413.4,-9.85,2.1,2.0,6.5
2010-10-01,2010.7493,7.0,-413.6,-9.3,2.0,2.0,6.5
2010-10-02,2010.7521,6.4,-412.6,-10.4,1.9,2.0,6.1
2010-10-03,2010.7548,6.9,-413.1,-11.6,1.8,1.8,5.7
2010-10-04,2010.7575,7.0,-414.0,-7.7,1.8,1.8,5.7
2010-10-05,2010.7603,6.8,-413.2,-6.2,1.8,1.8,5.8
2010-10-06,2010.763,6.3,-412.6,-5.6,2.0,2.0,6.3
2010-10-07,2010.7658,6.7,-413.0,-6.8,1.9,1.9,6.0
2010-10-08,2010.7685,7.0,-412.8,-3.9,1.9,2.0,6.2
2010-10-09,2010.7712,6.9,-413.3,-9.7,2.1,2.0,6.7
2010-10-10,2010.774,7.1,-413.1,-8.7,2.0,1.9,6.3
2010-10-11,2010.7767,6.7,-412.2,-7.3,1.9,1.9,6.0
2010-10-12,2010.7795,7.6,-411.8,-9.5,1.9,1.8,6.0
2010-10-13,2010.7822,6.8,-411.7,-7.4,1.9,1.8,5.9
2010-10-14,2010.7849,7.7,-411.5,-11.1,2.0,2.0,6.5
2010-10-15,2010.7877,6.9,-410.6,-7.5,1.9,1.9,6.2
