YYYYMMDD,YYYY.DECM,N(m),E(m),U(m),sig_n(mm),sig_e(mm),sig_u(mm)
2010-08-09,2010.6041,253.7,-431.9,-19.9,2.4,2.7,9.5
2010-08-10,2010.6068,252.7,-432.4,-14.9,2.8,3.3,10.8
2010-08-11,2010.6096,252.8,-429.2,-18.1,2.7,3.3,10.6
2010-08-12,2010.6123,257.1,-426.6,-20.8,2.8,3.4,11.1
2010-08-13,2010.6151,251.2,-430.7,-21.4,2.2,2.6,8.7
2010-08-14,2010.6178,255.1,-427.9,-13.5,2.4,3.0,9.8
2010-08-15,2010.6205,255.0,-427.7,-25.6,2.1,2.6,8.5
2010-08-16,2010.6233,254.4,-427.3,-20.9,2.6,3.2,10.3
2010-08-17,2010.626,253.0,-427.7,-16.9,2.6,3.2,10.1
2010-08-18,2010.6288,254.2,-427.7,-13.1,2.3,2.9,9.1
2010-08-19,2010.6315,253.4,-428.4,-15.9,2.3,2.8,8.8
2010-08-20,2010.6342,251.3,-427.0,-19.9,1.8,2.1,7.1
2010-08-21,2010.637,253.3,-427.9,-14.0,2.2,2.7,8.6
2010-08-22,2010.6397,254.2,-427.6,-21.1,1.9,2.2,7.4
2010-08-23,2010.6425,252.9,-428.2,-18.9,2.0,2.4,7.7
2010-08-24,2010.6452,254.1,-428.8,-24.5,2.0,2.3,7.8
2010-08-25,2010.6479,254.1,-428.2,-23.2,2.0,2.4,7.9
2010-08-26,2010.6507,254.7,-426.0,-17.2,2.1,2.6,8.6
2010-08-27,2010.6534,254.0,-428.4,-23.0,1.9,2.1,7.3
2010-08-28,2010.6562,253.0,-426.3,-28.0,2.1,2.7,7.9
2010-08-29,2010.6589,252.0,-428.4,-26.2,2.5,3.0,9.4
2010-08-30,2010.6616,251.2,-426.5,-18.9,2.2,2.6,8.8
2010-08-31,2010.6644,253.8,-428.4,-27.9,2.6,3.1,9.9
2010-09-01,2010.6671,253.1,-426.5,-26.4,2.1,2.4,8.4
2010-09-02,2010.6699,254.2,-426.8,-21.2,2.3,2.7,9.2
2010-09-03,2010.6726,253.3,-427.1,-20.5,1.8,2.0,7.1
2010-09-04,2010.6753,252.6,-427.3,-22.5,2.0,2.4,7.9
2010-09-05,2010.6781,252.4,-428.4,-24.3,2.1,2.4,7.9
2010-09-06,2010.6808,252.9,-429.2,-21.1,2.5,2.9,9.7
2010-09-07,2010.6836,251.4,-428.3,-31.9,2.1,2.4,8.7
2010-09-08,2010.6863,253.3,-425.8,-26.5,2.2,2.6,9.0
2010-09-09,2010.689,251.1,-429.4,-33.0,2.1,2.4,8.1
2010-09-10,2010.6918,254.5,-426.4,-17.6,2.4,2.9,9.2
2010-09-11,2010.6945,251.9,-426.1,-21.1,2.2,2.7,8.2
2010-09-12,2010.6973,250.9,-425.8,-23.0,2.1,2.4,7.7
2010-09-13,2010.7,250.7,-426.2,-21.6,2.2,2.6,8.4
2010-09-14,2010.7027,252.0,-427.9,-26.0,2.5,2.9,9.4
2010-09-15,2010.7055,252.2,-425.5,-24.2,2.0,2.3,7.6
2010-09-16,2010.7082,250.1,-427.7,-30.4,2.1,2.4,7.9
2010-09-17,2010.711,251.5,-426.9,-27.8,1.8,2.1,6.9
2010-09-18,2010.7137,251.0,-427.4,-29.5,2.0,2.3,7.6
2010-09-19,2010.7164,250.6,-426.4,-26.55,2.2,2.6,8.05
2010-09-20,2010.7192,251.2,-428.7,-23.6,2.3,2.6,8.5
2010-09-21,2010.7219,251.2,-425.9,-21.9,2.7,2.9,10.7
2010-09-22,2010.7247,252.0,-427.1,-22.1,2.1,2.4,8.3
2010-09-23,2010.7274,251.1,-429.0,-20.9,2.3,2.7,8.8
2010-09-24,2010.7301,251.3,-427.6,-30.2,2.2,2.6,8.3
2010-09-25,2010.7329,251.2,-427.7,-26.8,2.0,2.4,7.8
2010-09-26,2010.7356,253.7,-426.6,-25.2,2.1,2.5,7.9
2010-09-27,2010.7384,252.0,-428.1,-27.6,2.3,2.7,9.2
2010-09-28,2010.7411,253.7,-424.9,-33.9,2.4,2.8,9.2
2010-09-29,2010.7438,251.4,-427.1,-23.8,2.0,2.4,7.9
2010-09-30,2010.7466,252.0,-426.0,-24.4,2.6,3.0,9.7
2010-10-01,2010.7493,251.4,-425.7,-28.0,2.3,2.8,8.3
2010-10-02,2010.7521,252.9,-429.3,-21.4,3.0,3.4,11.5
2010-10-03,2010.7548,251.2,-425.9,-29.9,2.2,2.5,8.5
2010-10-04,2010.7575,249.7,-425.3,-24.2,2.1,2.4,8.1
2010-10-05,2010.7603,251.1,-425.6,-22.5,2.0,2.3,7.4
2010-10-06,2010.763,250.5,-425.3,-26.3,1.8,2.1,6.6
2010-10-07,2010.7658,251.0,-424.4,-21.6,1.9,2.2,6.9
2010-10-08,2010.7685,251.3,-425.0,-22.3,1.8,2.1,6.7
2010-10-09,2010.7712,249.6,-425.1,-21.6,2.3,2.7,8.6
2010-10-10,2010.774,249.7,-425.8,-22.4,2.1,2.6,8.1
2010-10-11,2010.7767,249.2,-424.9,-24.4,2.4,3.0,8.8
2010-10-12,2010.7795,248.5,-425.4,-23.9,1.8,2.1,7.1
2010-10-13,2010.7822,250.6,-425.3,-22.1,1.9,2.2,7.2
2010-10-14,2010.7849,251.1,-424.8,-21.6,2.3,2.7,8.8
2010-10-15,2010.7877,249.3,-425.1,-29.2,2.3,2.7,8.2
2010-10-16,2010.7904,250.6,-424.3,-19.8,2.0,2.4,7.4
2010-10-17,2010.7932,249.4,-424.6,-25.5,2.0,2.3,7.4
2010-10-18,2010.7959,247.5,-423.3,-27.9,2.0,2.4,7.6
2010-10-19,2010.7986,249.5,-423.0,-28.0,2.0,2.3,7.4
2010-10-20,2010.8014,247.2,-421.8,-26.0,1.9,2.2,7.3
2010-10-21,2010.8041,247.9,-423.1,-24.3,2.0,2.4,7.8
2010-10-22,2010.8068,247.9,-422.0,-22.1,2.1,2.4,7.8
2010-10-23,2010.8096,245.7,-422.2,-20.0,2.0,2.3,7.5
2010-10-24,2010.8123,248.1,-422.0,-24.3,2.0,2.3,8.0
2010-10-25,2010.8151,247.4,-421.8,-21.3,2.1,2.3,8.0
2010-10-26,2010.8178,247.0,-422.2,-25.7,2.0,2.3,7.8
2010-10-27,2010.8205,246.7,-421.6,-24.5,1.9,2.3,7.1
2010-10-28,2010.8233,246.9,-421.1,-24.6,2.2,2.5,8.6
2010-10-29,2010.826,245.5,-422.2,-30.6,1.8,2.1,6.8
2010-10-30,2010.8288,246.0,-421.6,-29.6,1.7,1.9,6.4
2010-10-31,2010.8315,246.0,-420.8,-22.6,1.9,2.1,6.9
2010-11-01,2010.8342,245.9,-423.9,-21.3,2.0,2.2,7.3
2010-11-02,2010.837,244.0,-422.8,-25.7,1.8,2.0,6.9
2010-11-03,2010.8397,246.0,-422.9,-31.3,2.2,2.5,8.3
2010-11-04,2010.8425,244.8,-423.5,-27.3,1.9,2.1,7.2
2010-11-05,2010.8452,245.5,-424.8,-24.4,2.0,2.3,7.4
2010-11-06,2010.8479,246.5,-424.6,-29.4,2.0,2.2,7.0
2010-11-07,2010.8507,246.5,-423.3,-25.3,2.0,2.3,7.3
2010-11-08,2010.8534,246.0,-422.2,-32.6,1.8,2.0,6.7
2010-11-09,2010.8562,244.8,-422.6,-31.1,1.8,1.9,6.6
2010-11-10,2010.8589,245.4,-423.1,-28.4,2.0,2.2,7.1
2010-11-11,2010.8616,245.3,-419.8,-28.0,2.0,2.2,7.6
2010-11-12,2010.8644,246.2,-421.6,-24.2,1.8,2.1,6.8
2010-11-13,2010.8671,245.6,-421.1,-24.2,1.9,2.1,7.0
2010-11-14,2010.8699,247.0,-421.9,-26.0,1.8,1.9,6.6
2010-11-15,2010.8726,245.2,-421.5,-24.1,2.1,2.3,7.3
