YYYYMMDD,YYYY.DECM,N(m),E(m),U(m),sig_n(mm),sig_e(mm),sig_u(mm)
2010-06-11,2010.4425,240.8,-475.6,-6.4,2.4,3.0,9.9
2010-06-12,2010.4452,239.3,-477.8,-14.7,2.2,2.8,9.0
2010-06-13,2010.4479,240.3,-478.2,-4.8,2.1,2.8,8.4
2010-06-14,2010.4507,241.7,-478.0,-11.9,2.1,2.6,8.3
2010-06-15,2010.4534,240.8,-478.1,-13.0,2.1,2.6,8.4
2010-06-16,2010.4562,239.9,-478.9,-13.5,2.1,2.6,8.5
2010-06-17,2010.4589,239.7,-475.3,-6.6,2.3,3.0,9.4
2010-06-18,2010.4616,240.4,-475.4,-7.6,2.4,3.1,9.6
2010-06-19,2010.4644,238.2,-477.1,-4.9,2.2,2.8,8.7
2010-06-20,2010.4671,238.8,-478.3,-13.3,2.0,2.4,8.1
2010-06-21,2010.4699,239.8,-476.4,-9.2,1.9,2.4,7.5
2010-06-22,2010.4726,240.1,-477.8,-18.2,2.1,2.5,8.3
2010-06-23,2010.4753,237.4,-477.9,-15.7,2.2,2.7,8.9
2010-06-24,2010.4781,238.2,-477.7,-12.7,2.2,2.6,8.5
2010-06-25,2010.4808,236.7,-477.9,-4.6,2.2,2.7,8.7
2010-06-26,2010.4836,240.8,-475.3,-7.7,2.2,2.6,8.5
2010-06-27,2010.4863,238.3,-478.6,-9.5,2.0,2.4,7.8
2010-06-28,2010.489,236.4,-478.0,-9.2,2.3,2.8,9.1
2010-06-29,2010.4918,238.7,-477.3,-15.0,2.1,2.5,8.2
2010-06-30,2010.4945,237.8,-475.0,-17.4,2.2,2.6,8.6
2010-07-01,2010.4973,237.4,-476.7,-8.7,2.0,2.4,7.8
2010-07-02,2010.5,238.2,-476.7,-13.8,2.0,2.4,7.7
2010-07-03,2010.5027,238.6,-472.9,-16.0,2.2,2.7,8.8
2010-07-04,2010.5055,238.2,-476.5,-10.8,1.9,2.3,7.6
2010-07-05,2010.5082,237.4,-478.1,-9.4,2.1,2.5,8.1
2010-07-06,2010.511,238.5,-477.3,-14.9,1.9,2.3,7.6
2010-07-07,2010.5137,237.0,-476.4,-18.0,2.2,2.7,8.2
2010-07-08,2010.5164,237.1,-475.0,-17.3,1.8,2.1,7.2
2010-07-09,2010.5192,238.0,-475.6,-11.3,1.8,2.2,7.3
2010-07-10,2010.5219,237.3,-477.2,-13.0,1.9,2.2,7.4
2010-07-11,2010.5247,234.4,-475.4,-10.0,1.9,2.2,7.6
2010-07-12,2010.5274,236.5,-476.2,-10.1,2.1,2.6,8.1
2010-07-13,2010.5301,237.9,-476.3,-13.9,2.2,2.5,8.8
2010-07-14,2010.5329,237.0,-475.1,-14.0,2.3,2.8,9.0
2010-07-15,2010.5356,236.9,-476.0,-15.0,1.7,2.1,6.9
2010-07-16,2010.5384,237.6,-475.5,-11.0,2.5,3.1,10.0
2010-07-17,2010.5411,236.2,-473.6,-12.6,2.4,3.0,9.5
2010-07-18,2010.5438,236.7,-475.8,-12.1,1.9,2.2,7.4
2010-07-19,2010.5466,236.2,-475.2,-18.1,1.9,2.2,7.4
2010-07-20,2010.5493,235.6,-474.0,-14.2,1.7,2.0,6.8
2010-07-21,2010.5521,236.9,-472.4,-19.7,2.2,2.6,8.9
2010-07-22,2010.5548,234.9,-475.2,-5.4,2.5,2.9,10.1
2010-07-23,2010.5575,235.8,-474.9,-15.2,2.1,2.4,8.7
2010-07-24,2010.5603,235.6,-476.8,-16.4,2.1,2.4,8.3
2010-07-25,2010.563,233.8,-474.6,-19.7,2.0,2.4,8.1
2010-07-26,2010.5658,235.3,-476.4,-13.5,1.9,2.2,7.7
2010-07-27,2010.5685,236.4,-478.1,-17.3,2.2,2.6,8.9
2010-07-28,2010.5712,233.6,-475.2,-17.9,2.2,2.5,9.0
2010-07-29,2010.574,234.8,-476.0,-16.9,2.2,2.7,8.7
2010-07-30,2010.5767,234.4,-475.4,-22.4,2.3,2.8,9.1
2010-07-31,2010.5795,234.2,-474.3,-17.5,2.5,2.9,10.4
2010-08-01,2010.5822,235.8,-475.9,-18.25,2.7,3.4,9.35
2010-08-02,2010.5849,233.5,-473.8,-19.0,2.1,2.4,8.3
2010-08-03,2010.5877,235.1,-476.4,-18.5,1.9,2.2,7.1
2010-08-04,2010.5904,235.3,-472.0,-22.9,2.2,2.6,9.1
2010-08-05,2010.5932,233.0,-474.2,-22.2,2.7,3.1,10.7
2010-08-06,2010.5959,232.6,-474.1,-22.1,2.3,2.8,9.0
2010-08-07,2010.5986,236.8,-474.2,-26.0,2.6,3.1,10.4
2010-08-08,2010.6014,232.8,-472.8,-23.8,2.7,3.1,10.5
2010-08-09,2010.6041,233.2,-476.8,-30.3,2.9,3.3,11.5
2010-08-10,2010.6068,234.0,-474.6,-26.1,2.4,2.8,12.05
